Species,NumPores,Radius,AvgIPD,MinIPD,Area,Perimeter,MajAxis,MinAxis,Circularity,AspRatio,Eccentricity,Roundness,Solidity,Mean,St_Deviation,Skewness,Kurtosis
Buffalo,37,18.52347832,125.5472037,25.12183227,1140.783784,187.5675676,55.06450802,34.19173353,0.425132241,1.796012621,0.742183765,0.473353182,0.74412453,20.97438049,46.85765424,1.354036607,9.227428575
Buffalo,34,19.3185627,135.7092541,26.22007256,1221.117647,185.4701176,56.62331449,34.64323903,0.474182003,1.690178665,0.743724729,0.495939565,0.757075154,21.47382889,47.57396195,3.590402391,397.1815814
Buffalo,38,17.52080849,138.2594197,29.17598488,1010.657895,172.2027895,53.80146885,31.1846072,0.446212225,2.014968531,0.776273852,0.451081303,0.758711759,19.93651505,45.40438347,1.147832102,11.75139524
Buffalo,37,16.56016443,127.1994665,20.53307158,901.1081081,153.0963784,49.87090255,29.16965222,0.500074111,1.8525064,0.767697701,0.463092968,0.776561644,17.5923233,43.47041906,2.888442566,51.93361934
Buffalo,32,20.94631355,150.1998319,110.5942247,1415.5,188.171875,57.93280696,36.83251317,0.54914667,1.66497952,0.749334127,0.535405931,0.831588998,21.80190353,47.58230508,3.782572364,401.9130973
Buffalo,33,18.81238482,143.3129386,54.16490866,1163,189.6537879,58.9951345,32.85322189,0.446420949,2.010498285,0.799773886,0.431101757,0.755454756,21.26439362,45.9378783,1.075381627,21.09838704
Buffalo,27,18.83232401,150.8866086,99.15978031,1151.111111,182.8347778,53.99231509,35.0941357,0.473807488,1.612302218,0.72569613,0.502820077,0.772921199,16.79126129,43.34789797,5.481973656,109.8364689
Buffalo,35,17.03593207,146.7897764,87.82482295,953.8857143,170.2312286,48.69595658,32.51895044,0.441272116,1.566235201,0.721313479,0.497961028,0.752121187,18.07353668,43.8670547,1.312508239,21.5869844
Buffalo,34,15.64944351,147.3216348,98.74514044,801.7647059,143.5459118,45.18742425,28.5685722,0.510172751,1.628155957,0.743143927,0.500373434,0.777658079,12.81904678,39.29288154,3.497494807,59.75957575
Buffalo,30,19.70742452,144.6939754,96.02202062,1252.4,170.141,51.58923974,36.83131188,0.575809634,1.419258654,0.660690735,0.598574514,0.821709868,14.92896576,42.4984385,2.636920953,92.73938096
Buffalo,31,17.44242407,148.6550603,88.80441936,983.1935484,174.7175484,51.30870001,33.33707663,0.4335398,1.5723014,0.735782451,0.468177799,0.748302567,12.68976669,38.90239663,2.689969367,54.3329079
Buffalo,30,18.68908772,143.5343577,99.85865003,1132.733333,178.1310333,53.37619703,34.12225512,0.505143307,1.583651334,0.742792608,0.508123882,0.787263736,13.4287796,40.33013685,1.639523007,39.18654529
Buffalo,59,12.56493587,86.94254046,20.54947537,564.2881356,106.6262203,34.41643127,21.7606372,0.598521201,1.753391197,0.747503117,0.541399357,0.833765383,17.70214005,40.09070628,1.479471851,58.07279635
Buffalo,62,11.77959544,86.39873842,13.12554338,490.516129,99.65751613,33.27582983,20.0685128,0.600338303,1.77699319,0.761676896,0.538303196,0.824000355,17.74152603,39.50939244,0.556175226,6.797925206
Buffalo,40,14.46098848,119.7718826,47.04369405,711.85,118.773475,38.66373822,25.60177816,0.668273772,1.558614963,0.713003708,0.594048807,0.849394493,17.21178665,38.89022039,17.56787076,1206.247079
Buffalo,42,17.02362624,138.0971678,77.06157238,957.5714286,149.0705238,46.81645875,29.44667891,0.591184728,1.734139447,0.727742362,0.569781421,0.838492193,18.22444839,42.5246164,3.061549098,455.7525449
Buffalo,49,16.33189704,113.0459225,28.4453223,899.4081633,155.1217755,47.00564427,29.12971089,0.513071233,1.723822862,0.741316701,0.524353108,0.796862997,19.79536514,42.92121103,4.355101818,392.2802936
Buffalo,47,16.91169982,111.8619967,30.1793258,959.0851064,165.9732128,47.71018829,31.65544804,0.497368766,1.642662722,0.71286079,0.539436212,0.798154391,20.72004013,44.59131831,3.513381584,252.9545529
Buffalo,47,15.67211264,105.6511557,24.39447188,830.1702128,145.4025532,46.09135821,27.32712762,0.515223167,1.837025294,0.763354615,0.504109494,0.78570107,21.24544296,44.41358425,0.883265456,18.40588221
Buffalo,42,16.86158244,124.5191025,29.32088152,945.4047619,143.3305,45.59213977,29.65019443,0.590909567,1.643379285,0.714416715,0.573980841,0.837799655,18.71779099,43.68593921,0.380886584,3.950439116
Buffalo,39,16.61742181,138.8344792,43.60163941,904.2564103,143.305359,45.54534425,29.48511772,0.611489505,1.794028973,0.662995978,0.622688702,0.849213713,17.32505112,41.84040214,0.98477574,7.59638205
