BBTS1 (174),Buff,552.446,15.36794,13.39087,12.79576,12.40913,11.55907,11.21612,10.94811,10.14648,9.831402
BBTS1 (175),Buff,524.7258,16.10649,15.43141,14.76378,13.29312,12.37711,11.96867,11.57979,11.09683,10.93371
BBTS1 (179),Buff,543.446,16.01082,14.27492,13.60147,12.1558,11.65903,11.23726,10.90527,10.1034,9.738118
BBTS1 (18),Buff,582.4712,13.48224,12.72756,11.67931,11.11958,10.8007,10.35,10.16154,9.391133,9.228363
BBTS1 (182),Buff,482.2549,15.07034,12.08176,11.34083,11.04262,10.47858,9.855691,9.671352,9.462444,9.031792
BBTS1 (184),Buff,488.1505,16.29524,15.92151,14.5932,14.07461,13.7889,13.06818,12.60563,12.35304,11.88059
BBTS1 (188),Buff,534.9949,14.0104,13.0221,12.12137,11.7054,10.90127,10.84058,10.27432,10.09057,9.041355
BBTS1 (190),Buff,554.7446,16.3512,15.77813,14.10099,13.16356,12.81248,12.4455,11.70268,11.4156,10.59129
BBTS1 (191),Buff,543.52,15.23738,13.00915,12.56705,12.32974,12.09746,11.5241,10.90211,10.55878,10.3172
BBTS1 (193),Buff,529.6522,22.75685,19.95115,19.30869,18.74055,17.10529,15.54995,15.02108,13.87021,13.46904
BBTS1 (198),Buff,560.5131,17.39536,16.54207,15.17634,14.8043,14.06094,13.7951,13.14623,13.03362,11.81172
BBTS1 (2),Buff,605.0151,19.58671,18.85919,17.72455,16.64364,16.06902,14.70619,14.59409,13.88835,13.53324
BBTS1 (20),Buff,567.435,14.62992,13.89661,13.74282,13.18884,12.51793,11.30019,11.18734,10.85272,10.15653
BBTS1 (21),Buff,575.8748,14.33796,13.86263,13.32597,12.44764,12.28357,11.92503,11.82221,10.50806,9.841461
BBTS1 (22),Buff,616.9076,17.51945,17.02966,16.38805,15.59587,13.86849,13.72773,12.22852,11.5435,11.04894
BBTS1 (221),Buff,497.5095,16.95461,15.64291,14.14675,13.40137,12.72079,12.14035,11.81052,11.5538,10.90651
BBTS1 (224),Buff,533.3359,17.28292,16.99249,16.40077,16.08367,14.77043,14.62157,12.86867,12.29552,11.86832
BBTS1 (225),Buff,509.6937,17.57427,15.79685,14.75656,14.66018,13.99281,13.50877,13.16856,12.50588,11.62929
BBTS1 (227),Buff,530.4486,19.39563,17.56519,17.4055,15.7036,14.92461,14.48956,13.43802,13.29449,12.99951
BBTS1 (229),Buff,540.1817,17.02906,15.93072,14.93543,14.59695,13.35481,13.28796,12.70003,11.92497,11.22013
BBTS1 (231),Buff,515.8274,23.29472,21.29182,19.85701,19.21551,18.65007,18.07311,16.66573,15.90318,14.90939
BBTS1 (233),Buff,529.943,20.26596,18.37776,18.22773,16.56909,16.03858,15.69361,14.68797,13.36128,12.82592
BBTS1 (25),Buff,556.0734,17.71619,17.0757,15.42443,14.44763,13.65257,13.21427,12.72027,12.6717,12.11795
BBTS1 (26),Buff,536.4992,15.09007,14.84647,14.45573,13.57775,13.08605,12.26509,11.84025,11.17975,10.6384
BBTS1 (27),Buff,575.0431,16.28636,14.78744,13.6745,12.8093,11.92508,11.56955,11.45517,10.48314,9.870011
BBTS1 (28),Buff,576.5721,17.19013,15.92554,14.28181,12.8955,12.51534,12.1028,11.57668,10.93686,10.70953
BBTS1 (29),Buff,577.4272,16.51856,15.76799,14.61086,14.09546,13.44029,13.29707,12.67886,11.76797,11.30543
BBTS1 (30),Buff,589.3871,15.02588,13.65058,13.2125,12.19561,11.78875,10.6398,10.50631,10.25695,9.969979
BBTS1 (31),Buff,597.1688,15.60668,13.13549,12.78484,11.84132,10.96369,10.71653,10.55673,9.848444,9.389252
BBTS1 (34),Buff,575.9082,13.80371,13.76582,12.60295,12.30336,11.16201,11.03449,10.59441,10.46944,9.707785
BBTS1 (35),Buff,572.663,14.59074,12.61587,12.19172,11.99997,11.39057,10.91717,10.32785,9.604988,9.38523
BBTS1 (36),Buff,557.2099,15.19259,13.30689,12.86229,11.50016,10.86875,10.53262,10.2985,9.994526,9.333547
BBTS1 (37),Buff,576.6677,15.24835,13.57731,13.51245,12.42679,12.37181,11.63821,10.30281,10.01323,9.284149
BBTS1 (38),Buff,545.2684,20.46828,16.5775,16.30771,15.64941,15.10311,13.93826,13.57875,12.46196,12.16719
BBTS1 (42),Buff,630.7065,19.83689,18.22892,17.19488,16.82049,15.1224,14.65813,13.64697,12.94033,11.81395
BBTS1 (43),Buff,604.4726,15.20194,12.77619,12.17282,11.69536,11.23368,10.65314,10.31843,9.762738,9.400347
BBTS1 (44),Buff,601.8556,15.34198,14.47099,13.30277,12.7241,12.00927,11.45676,10.66873,9.821028,9.707694
